Area,Population totale
afghanistan,36296.113
afrique du sud,57009.756
albanie,2884.169
algérie,41389.189
allemagne,82658.409
andorre,77.001
angola,29816.766
anguilla,14.584
antigua-et-barbuda,95.426
antilles néerlandaises (ex),275.186
arabie saoudite,33101.179
argentine,43937.14
arménie,2944.791
aruba,105.366
australie,24584.62
autriche,8819.901
azerbaïdjan,9845.32
bahamas,381.755
bahreïn,1494.076
bangladesh,159685.424
barbade,286.232
belgique,11419.748
belize,375.769
bermudes,63.049
bhoutan,745.563
bolivie (état plurinational de),11192.855
"bonaire, saint-eustache et saba",25.401
bosnie-herzégovine,3351.525
botswana,2205.08
brunéi darussalam,424.473
brésil,207833.823
bulgarie,7102.444
burkina faso,19193.234
burundi,10827.019
bélarus,9450.231
bénin,11175.198
cabo verde,537.498
cambodge,16009.409
cameroun,24566.073
canada,36732.095
chili,18470.439
chine - ras de hong-kong,7306.322
chine - ras de macao,622.585
"chine, taiwan province de",23674.546
"chine, continentale",1421021.791
chypre,1179.678
colombie,48909.839
comores,813.892
congo,5110.695
costa rica,4949.954
croatie,4182.857
cuba,11339.254
curaçao,161.997
côte d'ivoire,24437.47
danemark,5732.274
djibouti,944.099
dominique,71.458
el salvador,6388.126
espagne,46647.428
estonie,1319.39
eswatini,1124.805
fidji,877.459
finlande,5511.371
france,64842.509
fédération de russie,145530.082
gabon,2064.823
gambie,2213.889
ghana,29121.465
gibraltar,33.728
grenade,110.874
groenland,56.481
grèce,10569.45
guadeloupe,399.672
guam,164.281
guatemala,16914.97
guinée,12067.519
guinée équatoriale,1262.002
guinée-bissau,1828.145
guyana,775.222
guyane française,275.191
géorgie,4008.716
haïti,10982.366
honduras,9429.013
hongrie,9729.823
inde,1338676.785
indonésie,264650.963
iran (république islamique d'),80673.883
iraq,37552.781
irlande,4753.279
islande,334.393
israël,8243.848
italie,60673.701
jamaïque,2920.848
japon,127502.725
jordanie,9785.843
kazakhstan,18080.019
kenya,50221.142
kirghizistan,6189.733
kiribati,114.158
koweït,4056.099
lesotho,2091.534
lettonie,1951.097
liban,6819.373
libye,6580.724
libéria,4702.226
liechtenstein,37.8
lituanie,2845.414
luxembourg,591.91
macédoine du nord,2081.996
madagascar,25570.512
malaisie,31104.646
malawi,17670.196
maldives,496.402
mali,18512.43
malte,437.933
maroc,35581.255
martinique,375.948
maurice,1264.499
mauritanie,4282.57
mayotte,252.957
mexique,124777.324
micronésie (états fédérés de),111.459
monaco,38.392
mongolie,3113.786
montserrat,4.984
monténégro,627.563
mozambique,28649.018
myanmar,53382.523
namibie,2402.633
nauru,10.573
nicaragua,6384.846
niger,21602.382
nigéria,190873.244
nioué,1.609
norvège,5296.326
nouvelle-calédonie,277.15
nouvelle-zélande,4702.034
népal,27632.681
oman,4665.928
ouganda,41166.588
ouzbékistan,31959.785
pakistan,207906.209
palaos,17.808
palestine,4747.227
panama,4106.769
papouasie-nouvelle-guinée,8438.036
paraguay,6867.061
pays-bas,17021.347
philippines,105172.925
pologne,37953.18
polynésie française,276.102
porto rico,3163.667
portugal,10288.527
pérou,31444.298
qatar,2724.728
roumanie,19653.969
royaume-uni de grande-bretagne et d'irlande du nord,66727.461
rwanda,11980.961
république arabe syrienne,17095.678
république centrafricaine,4596.023
république de corée,51096.415
république de moldova,4059.684
république dominicaine,10513.104
république démocratique du congo,81398.764
république démocratique populaire lao,6953.035
république populaire démocratique de corée,25429.825
république-unie de tanzanie,54660.339
réunion,876.134
sahara occidental,552.615
saint-barthélemy,9.784
saint-kitts-et-nevis,52.045
saint-marin,33.671
saint-martin (partie française),36.56
saint-pierre-et-miquelon,5.887
saint-siège,0.793
saint-vincent-et-les grenadines,109.827
"sainte-hélène, ascension et tristan da cunha",6.008
sainte-lucie,180.954
samoa,195.352
samoa américaines,55.62
sao tomé-et-principe,207.089
serbie,8829.628
seychelles,96.418
sierra leone,7488.423
singapour,5708.041
sint maarten  (partie néerlandaise),41.444
slovaquie,5447.9
slovénie,2076.394
somalie,14589.179
soudan,40813.397
soudan du sud,10910.763
sri lanka,21128.032
suisse,8455.804
suriname,570.496
suède,9904.896
sénégal,15419.355
tadjikistan,8880.268
tchad,15016.753
tchéquie,10641.034
thaïlande,69209.81
timor-leste,1243.258
togo,7698.474
tokélaou,1.3
tonga,101.998
trinité-et-tobago,1384.059
tunisie,11433.443
turkménistan,5757.667
turquie,81116.45
tuvalu,11.37
ukraine,44487.709
uruguay,3436.641
vanuatu,285.51
venezuela (république bolivarienne du),29402.484
viet nam,94600.648
yémen,27834.819
zambie,16853.599
zimbabwe,14236.595
égypte,96442.591
émirats arabes unis,9487.203
équateur,16785.361
érythrée,3412.893
états-unis d'amérique,325084.756
éthiopie,106399.924
île de man,83.598
îles anglo-normandes,168.665
îles caïmanes,63.382
îles cook,17.507
îles falkland (malvinas),3.068
îles féroé,48.331
îles mariannes du nord,56.562
îles marshall,58.058
îles salomon,636.039
îles turques-et-caïques,37.115
îles vierges américaines,104.751
îles vierges britanniques,29.577
îles wallis-et-futuna,11.9
